,State_Name,District_Name,Crop_Year,Season,Crop,Area,production
48273,Chhattisgarh,DANTEWADA,2008,Kharif     ,Sunflower,1.0,1.0
48278,Chhattisgarh,DANTEWADA,2008,Rabi       ,Other  Rabi pulses,3.0,3.3
48304,Chhattisgarh,DANTEWADA,2009,Rabi       ,Gram,14.0,5.95
48305,Chhattisgarh,DANTEWADA,2009,Rabi       ,Horse-gram,93.0,26.9
48307,Chhattisgarh,DANTEWADA,2009,Rabi       ,Other  Rabi pulses,4.0,2.62
48308,Chhattisgarh,DANTEWADA,2009,Rabi       ,Peas & beans (Pulses),1.0,1.1
48310,Chhattisgarh,DANTEWADA,2009,Rabi       ,Urad,35.0,28.048333333333336
48313,Chhattisgarh,DANTEWADA,2009,Whole Year ,Coriander,8.0,1.6058080808080806
48315,Chhattisgarh,DANTEWADA,2009,Whole Year ,Dry ginger,1.0,1.0942564745196324
48317,Chhattisgarh,DANTEWADA,2009,Whole Year ,Sugarcane,2.0,26.223333333333336
48318,Chhattisgarh,DANTEWADA,2009,Whole Year ,Sweet potato,76.0,318.2
48319,Chhattisgarh,DANTEWADA,2009,Whole Year ,Turmeric,40.0,26.62833333333333
48324,Chhattisgarh,DANTEWADA,2010,Kharif     ,Jute,3.0,33.36666666666667
48337,Chhattisgarh,DANTEWADA,2010,Rabi       ,Horse-gram,73.0,17.6
48339,Chhattisgarh,DANTEWADA,2010,Rabi       ,Other  Rabi pulses,34.0,43.971428571428575
48341,Chhattisgarh,DANTEWADA,2010,Rabi       ,Urad,1.0,1.0
48355,Chhattisgarh,DANTEWADA,2011,Kharif     ,Jute,2.0,12.035531135531135
48373,Chhattisgarh,DANTEWADA,2011,Rabi       ,Urad,1.0,1.0
48376,Chhattisgarh,DANTEWADA,2011,Whole Year ,Coconut ,1.0,2413.5533333333333
48401,Chhattisgarh,DANTEWADA,2012,Rabi       ,Other  Rabi pulses,1.0,5.0
48402,Chhattisgarh,DANTEWADA,2012,Rabi       ,Peas & beans (Pulses),1.0,1.1
48408,Chhattisgarh,DANTEWADA,2012,Whole Year ,Coconut ,1.0,2413.5533333333333
48434,Chhattisgarh,DANTEWADA,2013,Rabi       ,Peas & beans (Pulses),1.0,1.1
48440,Chhattisgarh,DANTEWADA,2013,Whole Year ,Coconut ,1.0,2413.5533333333333
48466,Chhattisgarh,DANTEWADA,2014,Rabi       ,Linseed,2.0,1.025
48468,Chhattisgarh,DANTEWADA,2014,Rabi       ,Other  Rabi pulses,1.0,5.0
48475,Chhattisgarh,DANTEWADA,2014,Whole Year ,Coconut ,1.0,2413.5533333333333
48560,Chhattisgarh,DHAMTARI,2002,Kharif     ,Niger seed,3.0,1.0
48670,Chhattisgarh,DHAMTARI,2005,Kharif     ,Castor seed,1.0,1.0
